Price,Close,High,Low,Open,Volume,Stock,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,,,,,,,,,,,,
2024-09-03,1503.1217041015625,1516.941509382377,1501.5031683479538,1515.1984708784905,10923800.0,RELIANCE,,,,,,,,,,
2024-09-04,1508.525146484375,1511.4633627071519,1493.534966971581,1494.7301447200666,11983304.0,RELIANCE,,,,,,,,,,
2024-09-05,1487.035888671875,1519.7054581926027,1481.1345314015284,1513.0072347057646,16264168.0,RELIANCE,,,,,,,,,,
2024-09-06,1458.997802734375,1491.0448575756723,1455.8105811316245,1486.5627588054047,19394228.0,RELIANCE,,,,,,,,,,
2024-09-09,1456.63232421875,1464.07768593117,1449.809597840599,1460.666261949736,9010298.0,RELIANCE,,,,,,,,,,
2024-09-10,1455.7110595703125,1466.1942153054945,1451.7766997689328,1454.6901127162012,10768260.0,RELIANCE,,,,,,,,,,
2024-09-11,1445.7259521484375,1462.9073318760024,1441.7917138302157,1457.2300550346945,9760202.0,RELIANCE,,,,,,,,,,
2024-09-12,1473.913330078125,1480.088617533546,1440.1232367942907,1451.2039809867947,22349376.0,RELIANCE,,,,,,,,,,
2024-09-13,1466.766845703125,1477.2500011980833,1463.6542770635715,1470.5268529366479,8711328.0,RELIANCE,,,,,,,,,,
2024-09-16,1465.4969482421875,1475.0090069946318,1458.9232273463058,1471.6723576050656,5481774.0,RELIANCE,,,,,,,,,,
2024-09-17,1466.4432373046875,1471.5975781970765,1460.790763828237,1468.1364260685732,5935328.0,RELIANCE,,,,,,,,,,
2024-09-18,1457.6282958984375,1476.10455198121,1454.7399294679985,1464.1522884024148,8574714.0,RELIANCE,,,,,,,,,,
2024-09-19,1463.82861328125,1470.6264144806405,1449.7598031867433,1460.4171894563083,16955902.0,RELIANCE,,,,,,,,,,
2024-09-20,1480.0140380859375,1489.0528890965668,1465.5218693608433,1468.136427109257,30897320.0,RELIANCE,,,,,,,,,,
2024-09-23,1487.434326171875,1495.5270047691104,1483.026880271187,1485.0687739665293,8832314.0,RELIANCE,,,,,,,,,,
2024-09-24,1483.4501953125,1494.530939532627,1481.9561623839436,1482.5786761041754,17137444.0,RELIANCE,,,,,,,,,,
2024-09-25,1488.0069580078125,1490.5468626388433,1474.3116560624171,1477.9970102640052,7069002.0,RELIANCE,,,,,,,,,,
2024-09-26,1491.9910888671875,1498.017070530802,1482.1305684499498,1484.7202013028073,18818998.0,RELIANCE,,,,,,,,,,
2024-09-27,1520.1038818359375,1527.3747692811157,1486.0647823070499,1493.0369361114394,20597478.0,RELIANCE,,,,,,,,,,
2024-09-30,1470.701171875,1518.9086621673466,1468.5348969230117,1513.3558880158446,27008814.0,RELIANCE,,,,,,,,,,
2024-10-01,1458.997802734375,1482.0308103038055,1457.0057588364782,1474.7599230273088,16431642.0,RELIANCE,,,,,,,,,,
2024-10-03,1401.3780517578125,1443.634334423912,1396.4975195620746,1430.8602791168494,37757294.0,RELIANCE,,,,,,,,,,
2024-10-04,1381.0093994140625,1411.711728297617,1376.2782950115372,1398.34020617394,37072876.0,RELIANCE,,,,,,,,,,
2024-10-07,1365.272216796875,1390.9447078848398,1355.9594355150189,1387.9566419173104,22181340.0,RELIANCE,,,,,,,,,,
2024-10-08,1391.791259765625,1395.4267642320656,1359.669551595401,1367.513224520688,17020808.0,RELIANCE,,,,,,,,,,
2024-10-09,1369.1318359375,1395.4019165531051,1367.0402140253339,1391.9656892391695,14310610.0,RELIANCE,,,,,,,,,,
2024-10-10,1365.595947265625,1380.4864268287754,1363.9774115920343,1374.5352199766685,22358646.0,RELIANCE,,,,,,,,,,
2024-10-11,1366.6417236328125,1377.7723178051706,1363.3797273571677,1364.5501018082973,7980122.0,RELIANCE,,,,,,,,,,
2024-10-14,1367.0650634765625,1374.5849563155427,1362.8070452852592,1373.962442591221,12221432.0,RELIANCE,,,,,,,,,,
2024-10-15,1338.678466796875,1366.243302159234,1335.3666207605413,1353.1207855156183,33762794.0,RELIANCE,,,,,,,,,,
2024-10-16,1348.6884765625,1358.5740438069333,1332.3039628645522,1334.6695151768993,20034438.0,RELIANCE,,,,,,,,,,
2024-10-17,1351.0291748046875,1363.0062419523483,1346.6715786036464,1360.2671814831224,15543660.0,RELIANCE,,,,,,,,,,
2024-10-18,1353.8927001953125,1362.9814005892638,1335.9891081789099,1346.796043723323,12082452.0,RELIANCE,,,,,,,,,,
2024-10-21,1363.7532958984375,1368.5342502099143,1352.3239675798945,1361.686598848784,14067408.0,RELIANCE,,,,,,,,,,
2024-10-22,1338.006103515625,1370.5262455038624,1334.8935348257999,1363.7532474009167,15831960.0,RELIANCE,,,,,,,,,,
2024-10-23,1333.2003173828125,1352.0748848775756,1329.689315659354,1332.1793705575924,17214742.0,RELIANCE,,,,,,,,,,
2024-10-24,1334.4703369140625,1338.3547254831988,1317.8616212723593,1329.9633130042932,22155934.0,RELIANCE,,,,,,,,,,
2024-10-25,1322.5677490234375,1339.002111534351,1316.7410448137834,1338.1555171764887,18597496.0,RELIANCE,,,,,,,,,,
2024-10-28,1329.0418701171875,1347.6177038778262,1316.8406011796387,1331.6813526124565,10824350.0,RELIANCE,,,,,,,,,,
2024-10-29,1334.66943359375,1337.856655249044,1315.0478495098762,1322.8167478889227,12008361.0,RELIANCE,,,,,,,,,,
2024-10-30,1338.553955078125,1344.62966480214,1320.0776988278842,1329.6893351932274,11984423.0,RELIANCE,,,,,,,,,,
2024-10-31,1326.7510986328125,1337.6574904459744,1320.8745447599274,1334.6694245700712,9331650.0,RELIANCE,,,,,,,,,,
2024-11-01,1333.3248291015625,1336.6116286385318,1327.6972806767253,1327.7471304089104,2127335.0,RELIANCE,,,,,,,,,,
2024-11-04,1296.9700927734375,1334.6695017714562,1279.9878687625326,1332.5280301195805,19796890.0,RELIANCE,,,,,,,,,,
2024-11-05,1300.1075439453125,1304.3406373759979,1281.0336986406933,1287.8564249120313,16267479.0,RELIANCE,,,,,,,,,,
